apk_path,output_path,reason
downloaded_apk/100-500/com.medisaber.recursosmic_5.apk,decompiled_files/100-500/com.medisaber.recursosmic_5,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.edvin.cvvjk_38.apk,decompiled_files/100-500/co.edvin.cvvjk_38,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.varys.lhske_35.apk,decompiled_files/100-500/co.varys.lhske_35,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/org.fcbh.gbolbt.n2.n_11.apk,decompiled_files/10k-50k/org.fcbh.gbolbt.n2.n_11,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.vcode.ukvisit_17.apk,decompiled_files/10k-50k/com.vcode.ukvisit_17,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/au.com.unifii.dss_27164292.apk,decompiled_files/10k-50k/au.com.unifii.dss_27164292,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.nineyi.shop.s010011_108.apk,decompiled_files/10k-50k/com.nineyi.shop.s010011_108,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/ro.renovatio.echarge_250.apk,decompiled_files/10k-50k/ro.renovatio.echarge_250,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.NSTeam.quickcrm_8860.apk,decompiled_files/10k-50k/com.NSTeam.quickcrm_8860,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.awesomedev.word_pdf_converter_10.apk,decompiled_files/10k-50k/com.awesomedev.word_pdf_converter_10,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.eflasoft.korengfree_24.apk,decompiled_files/10k-50k/com.eflasoft.korengfree_24,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.horseboxsoftware.LTN_9997028.apk,decompiled_files/10k-50k/com.horseboxsoftware.LTN_9997028,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/fr.gabistoufly.almafus_41.apk,decompiled_files/10k-50k/fr.gabistoufly.almafus_41,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/de.juwei.homekey_104.apk,decompiled_files/10k-50k/de.juwei.homekey_104,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.uiko.allah.islamic.theme_6.apk,decompiled_files/10k-50k/com.uiko.allah.islamic.theme_6,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.walkwithgod_48.apk,decompiled_files/10k-50k/com.walkwithgod_48,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.dripmamba.ihars_5.apk,decompiled_files/10k-50k/com.dripmamba.ihars_5,Crash: [Errno 2] No such file or directory: 'jadx'
