sha256,pkg_name,vercode,markets,apk_size,download_count,category
43D3716A25436685A90A787C8AD7DAC42C8D786C82613DAA1730BC395E56C2EF,com.AppBot.CajaDank,70,play.google.com,5176409,500+ downloads,500-1k
5F61E8E17F10E6A33A90EB7F59A0822912D71980FB4774330650B64C2AD87B24,com.Infinity.snowleopard,1055,play.google.com,8057586,"10,000+ downloads",10k-50k
AF9EBD223FF60A37D3854CDB703B5DA58817D77EA7059461B0A4C760C1DFA2F1,com.phorest.thewicklowstreetclinic,100026,play.google.com,49095307,10+ downloads,<100
808C0BE22A8E975A6C64E635E6E6CC1FD48BA11FAA39F78C7C54EC01527F1E6F,roxanne.crete.lovevideomaker,7,play.google.com,13105305,100+ downloads,100-500
9E6643F50BD6F73DD91AD0DE25A0276BBE6E76B4292E6CC6CAD12837A12039BF,app.acm.alerts,6,play.google.com,8111918,50+ downloads,<100
1F8C9D8AD30409EAB16F22BA869D281532CDB0C918C6D71FDB8AD591012ABD4A,com.mdcoaching.app,3,play.google.com,7221482,50+ downloads,<100
2946A19901EA02B6CD0D01296A510B3A42A81EB96AD122E4C50C88BCD0903C40,org.wdprs.prsbible,26,play.google.com,165665961,"100,000+ downloads",100k-500k
F469CD3E78E636670248539F1EBEB568A2954784F9929693CB4673491E0B1212,com.RewardRush,37,play.google.com,11966379,"100,000+ downloads",100k-500k
9B261FBF65E8B600CEED9ADA0A2A8B7CBC4A267AF6383A92842C3684FAAE21E1,com.fitnessmobileapps.midtownpilates,530300,play.google.com,18361889,10+ downloads,<100
81AB87563FA07C7A3D6C4137D8DFE61AB3A2334836B42267545C515054EC8903,com.trainerize.fitmamasb,790000,play.google.com,35761541,10+ downloads,<100
FE91A4374564DA568A26EB3A25E422A8E9CF1A6C2976632C6C0ED56AA95F591B,co.jarvis.vizag,52,play.google.com,36223533,500+ downloads,500-1k
5C92082920A9ED34478D1FCF7D950487740C42077A5F4DBE966967D9DB5F1C85,com.foodbooking.thexpressthaifood,4674,play.google.com,8006433,10+ downloads,<100
617767151C8B64E425CDA8A29C13E23D4C85E00A4667AC47D55682B7D25DE36A,com.samartech.fortyhadees,5,play.google.com,4401408,"1,000+ downloads",1k-5k
6D254B898C50CF7A18473B9B66F50C69B23750B8EDFD537116E0DA21A517148C,com.airealmobile.trinitychristianacademy_33715,1683140404,play.google.com,66047461,100+ downloads,100-500
1C6A13A41D5B1F70F0EAE70349D73026FE32DB276F450744C726299AE0126694,com.kite.victers,10,play.google.com,27172788,"1,000,000+ downloads",1M-5M
B3F7953530BDFB656C9AFF23A3F6E02EC2403B4A2D183BC0F3D4895C21E157B5,in.narayaninfo.my_time,6,play.google.com,3763626,100+ downloads,100-500
7307D26BA6534A0306A701355309D902060190F837A66EAA9135ED58F8FC8838,org.edraak.mobile,3000062,play.google.com,35323821,"1,000,000+ downloads",1M-5M
3B7A331D139365F035E32F6CB77530FBA8B1EB44C69A9A702BE7CA74648D4C13,events.socio.app2675,690,play.google.com,26657628,50+ downloads,<100
CD4BB8148F58A8048C50B5CC02EF0F0B5B17C1CD35593A5B7D726FBF1891E718,ma.map.maptvnews,120,play.google.com,41829352,"10,000+ downloads",10k-50k
2F13E5ABFFE7088CA86F882930C8E7A0CB1C69FFA032EBB0A3DCCD9A354BD0FF,autotune.funny.musiceffect.voice.changer.dibaz,1,play.google.com,14326062,100+ downloads,100-500
9A761AAA6EAB454008932C75E0F22638302EEAFD8CA8E3F183F5F9A2080CEFEB,com.quantum.whoisonmywifi.wifimap.wifiscan.wifidetector.wifihacker,2,play.google.com,14755958,"10,000+ downloads",10k-50k
5645B29DF4F00C2041AA226520CD9F064E2CA2C01D8479C99523BEA25D22A71D,com.techiematrimony,201,play.google.com,10289027,"10,000+ downloads",10k-50k
437A999BB1985B2D78A0648FFB8127EC1A6F77F0D5C0BD09D3960F33FB33064F,com.dps_faridabad.mbl,20001,play.google.com,12539804,"5,000+ downloads",5k-10k
